Id;beginn;ende;dauer;sender;titel;typ;text;genre_id;fsk;language;weekday;zusatz;wdh;downloadlink;infolink;programlink;
5535559;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USNJTV;One on One With Steve Adubato;Talk Series;Professionals and innovators share their experiences.;5700;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535559;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU1OQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU1OQ==;
5535556;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USWCBS;The Insider;Talk Entertainment Series;;5700;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535556;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU1Ng==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU1Ng==;
5535558;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USWNBC;Extra;Talk Entertainment Series;;5700;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535558;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU1OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU1OA==;
5535563;04.11.2011 19:00:00;04.11.2011 20:00:00;60;USWNJU;Caso Cerrado: Edición Estelar;Entertainment Law Series;La sala de discusión de Dra. Ana María Polo trae casos intensos y conmovedores al horario estelar.;5300;;es;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535563;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU2Mw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU2Mw==;
5535560;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USWNYE;France 24 News;News Series;;2200;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535560;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU2MA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU2MA==;
5535557;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USWNYW;The Simpsons;Sitcom Animated Series;Homer and Marge Simpson raise Bart Lisa and baby Maggie.;8516;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535557;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU1Nw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU1Nw==;
5535561;04.11.2011 19:00:00;04.11.2011 19:30:00;30;USWWOR;How I Met Your Mother: The Fight;Sitcom Series;Ted and Barney pick a fight with a bunch of guys to improve their friends perceptions of them.;5210;;en;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535561;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU2MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU2MQ==;
5535562;04.11.2011 19:00:00;04.11.2011 20:00:00;60;USWXTV;Cuando Me Enamoro;Soap Drama Series;Novela de amor desamor de encuentros y desencuentros malos entendidos traiciones y venganzas.;5311;;es;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5535562;http://www.onlinetvrecorder.com/infopage.php?id=NTUzNTU2Mg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUzNTU2Mg==;
5517070;04.11.2011 19:00:00;04.11.2011 20:00:00;60;VOX;Das perfekte Dinner;Koch Doku;Koch Doku Deutschland, Tag 5: Haluk Duesseldorf;2416;;de;Fri;Koch Doku Deutschland;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517070;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3MA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3MA==;
5517072;04.11.2011 19:00:00;04.11.2011 21:00:00;120;YAVIDO;Prime Cuts;;;0;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517072;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3Mg==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3Mg==;
5517050;04.11.2011 19:00:00;04.11.2011 19:20:00;20;ZDF;heute;Nachrichten Kurz;;2240;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517050;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA1MA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA1MA==;
5517051;04.11.2011 19:00:00;04.11.2011 19:20:00;20;ZDF INFO;heute;20 min;20 min;-1;;de;Fri;20 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517051;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA1MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA1MQ==;
5517071;04.11.2011 19:00:00;04.11.2011 20:00:00;60;ZDFKULTUR;Later with Jools;Musikshow;Musikshow Grossbritannien 2009 60 min, Mit Basement Jaxx Dead Weather Yoko Ono Miike Snow;4001;;de;Fri;Musikshow Grossbritannien 2009 60 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517071;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3MQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3MQ==;
5517073;04.11.2011 19:03:00;04.11.2011 19:05:00;2;RTL;RTL Aktuell Das Wetter;Wetter;;2250;;de;Fri;;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517073;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3Mw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3Mw==;
5517077;04.11.2011 19:05:00;04.11.2011 20:00:00;55;N24;sonnenklar.TV;Reiseshopping;Reiseshopping 55 min;9220;;de;Fri;Reiseshopping 55 min;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517077;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3Nw==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3Nw==;
5517078;04.11.2011 19:05:00;04.11.2011 20:00:00;55;NTV;Extremes Universum: Explosionen;Reportage;Reportage;2430;;de;Fri;Reportage;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517078;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3OA==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3OA==;
5517075;04.11.2011 19:05:00;04.11.2011 19:40:00;35;RTL;Alles was zaehlt;Familienserie;Familienserie Deutschland 2011 Folge 1302;5316;;de;Fri;Familienserie Deutschland 2011 Folge 1302;;http://www.onlinetvrecorder.com/?aktion=dl&id=666&epg_id=5517075;http://www.onlinetvrecorder.com/infopage.php?id=NTUxNzA3NQ==;http://www.onlinetvrecorder.com/?aktion=createJob&byid=true&epgid=NTUxNzA3NQ==;
